"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"김해시",1.72,1.87,2.26,3.09,2.80,3.77,4.87,5.96,6.31,1.95,5.36,5.69,5.48
"밀양시",3.40,3.46,3.52,4.46,7.18,9.92,11.80,11.77,16.46,3.68,16.61,18.56,18.54
"거제시",3.76,3.68,3.58,3.48,3.84,3.68,5.32,4.38,4.30,4.22,4.13,4.43,4.69
"양산시",2.85,3.74,4.50,5.74,6.90,6.17,6.39,8.84,7.88,8.13,9.30,9.23,8.96
"창원시",-,-,-,-,-,-,-,6.60,6.69,6.60,6.83,6.98,6.82
"의령군",12.21,12.36,19.29,18.97,19.10,26.03,32.79,36.47,33.28,36.27,37.39,34.24,35.03
"함안군",-,-,1.63,1.58,4.62,12.11,13.52,17.86,19.41,20.76,20.69,23.28,23.14
"창녕군",1.49,1.51,3.09,3.15,8.03,8.12,11.43,9.72,11.20,14.29,15.76,15.75,17.24
"고성군",11.94,12.20,12.46,16.27,18.05,17.87,21.02,20.97,22.70,24.60,24.84,25.04,25.32
"남해군",3.68,3.76,5.79,5.91,5.45,9.86,11.94,16.22,17.91,18.66,19.05,19.30,17.44
