"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"금산군",-0.73,-1.04,-2.65,-1.09,0.37,-1.54,-0.82,0.65,-0.94,-0.41,-0.23,-0.29,-0.16,-0.14
"충남 연기군",0.91,2.10,-0.21,-1.51,-3.16,-1.64,1.19,3.00,1.44,-,-,-,-,-
"부여군",-2.94,-2.34,-2.18,-2.12,-2.03,-1.39,-1.43,-0.57,-1.32,-0.98,-0.83,-0.97,-0.75,-1.24
"서천군",-3.71,-2.50,-1.95,-2.43,-2.18,-0.87,-0.86,0.29,-0.70,-0.97,-0.65,-0.97,-1.24,-1.57
"청양군",-3.88,-3.67,-1.91,-2.10,-1.37,-1.40,-1.33,-0.20,-0.59,-0.65,0.20,0.49,0.85,0.87
"홍성군",3.78,-3.59,-0.29,-1.30,-0.78,-0.34,-0.41,0.83,0.15,0.28,1.44,2.58,3.02,5.82
"예산군",-2.53,-3.22,-1.12,-1.03,-0.85,-0.55,-1.04,-0.09,-0.42,-0.64,-0.56,-0.19,-1.60,-2.21
"태안군",-3.17,-0.17,0.21,0.01,-1.00,0.74,-0.39,0.44,-0.62,-0.17,-0.09,0.53,1.57,0.69
"충남 당진군",-1.09,1.15,2.74,4.22,9.14,0.45,1.82,4.50,3.81,-,-,-,-,-
"전라북도",0.07,-2.40,-1.05,-0.72,-0.18,-0.21,-0.01,0.78,0.36,-0.03,0.03,0.03,-0.04,-0.20
"전주시",-0.91,0.63,-0.07,0.58,-0.02,1.33,0.66,1.03,0.69,0.46,0.20,0.49,-0.05,0.02
"군산시",-1.18,-1.23,-0.67,-0.59,0.01,1.49,1.19,2.16,1.37,1.00,0.07,0.12,0.22,-0.31
"익산시",-1.51,-0.92,-1.16,-0.90,-0.31,-1.29,-0.83,0.17,0.87,-1.04,0.07,-0.66,-0.65,-0.44
"정읍시",11.56,-14.76,-2.37,-1.91,-1.46,-1.06,-1.02,0.47,-0.92,-0.93,-0.72,-0.89,-0.97,-0.69
"남원시",1.59,-5.55,-2.60,-2.35,-2.16,-0.86,-0.70,0.08,-0.33,-0.54,-0.61,-0.87,-0.82,-0.77
"김제시",-0.11,-4.89,-2.32,-2.12,-2.48,-1.75,-1.11,-0.40,-0.98,-0.69,-1.19,-1.06,-1.36,-0.96
"완주군",-0.84,-1.20,1.62,-0.09,0.09,1.43,0.35,1.46,-0.64,1.54,1.06,4.01,5.33,0.23
"진안군",0.43,0.67,-5.43,-6.08,11.26,-9.88,1.20,-0.04,3.44,-5.29,-0.91,-0.84,-0.99,-0.43
"무주군",-4.16,-1.92,-1.07,-1.59,3.80,-1.28,-0.89,-0.83,1.11,-2.07,0.34,0.07,-0.57,-1.03
"장수군",11.77,-8.95,-7.50,-1.97,10.20,-10.33,-1.62,-0.37,-0.66,-0.02,0.34,0.58,-0.11,1.41
"임실군",-2.05,-3.71,-1.46,-1.41,0.24,-2.34,-1.31,-0.60,0.58,-2.75,-0.66,0.80,1.07,-0.19
"순창군",-2.60,1.01,0.73,1.61,-1.29,-3.29,-2.28,0.11,-2.33,1.85,0.75,0.44,-0.31,-0.97
"고창군",0.09,-6.34,-2.22,-2.46,-1.62,-0.94,-0.28,1.22,-1.28,0.70,0.37,-0.59,-0.03,1.00
"부안군",-3.25,-1.85,-2.57,-2.60,-1.99,-1.58,-1.08,-0.11,-1.72,-0.34,0.54,-2.65,-1.03,0.33
"전라남도",-1.71,-1.50,-0.88,-1.09,-0.50,-0.32,-0.23,0.33,-0.12,-0.25,-0.08,0.12,0.29,-0.20
"목포시",-1.36,0.16,0.62,-0.46,0.84,1.15,-0.51,0.44,-0.18,0.09,-1.64,-0.59,-0.22,-0.27
"여수시",-1.61,-1.59,-1.22,-1.18,-0.55,-0.01,-0.50,0.06,-0.11,-0.11,-0.22,-0.04,-0.13,-0.35
"순천시",-0.39,0.10,0.42,-0.29,0.23,-0.27,0.03,1.14,-0.14,0.60,0.69,0.56,0.61,-0.07
"나주시",-1.04,-2.27,-1.28,-1.31,-0.83,-2.51,-2.13,-0.75,-1.79,-0.26,-0.24,3.59,8.18,6.49
"광양시",-1.02,1.02,0.43,0.21,0.51,1.91,1.57,1.42,3.74,0.04,0.51,0.44,0.94,1.33
"담양군",-1.03,-0.65,-0.46,0.04,0.31,-4.06,-2.17,1.17,0.07,-0.25,-0.29,-0.06,-0.35,0.57
"곡성군",-3.95,-2.56,-0.60,-1.35,-0.62,-1.89,-1.67,-0.59,-1.78,-1.31,0.29,-0.98,-0.12,-0.81
"구례군",-3.91,-0.85,-2.16,-2.34,-2.10,-1.76,-0.66,-0.48,0.18,-1.21,0.12,0.28,0.53,0.38
"고흥군",-1.24,-5.17,-3.32,-3.17,-2.96,-2.43,-1.89,-1.59,-1.69,-1.32,-1.24,-1.22,-1.42,-1.33
"보성군",-2.25,-3.03,-2.04,-2.22,-1.84,-1.51,-1.75,-0.48,-2.10,-1.74,-1.36,-0.97,-1.09,-1.79
"화순군",-2.90,-1.45,-1.57,-1.29,-1.37,-1.59,-0.94,-0.37,-0.51,-0.82,-0.83,-1.40,-1.41,-0.75
"장흥군",-4.71,-2.64,-2.09,-2.41,-2.13,-1.49,-1.44,0.70,0.37,0.29,0.92,0.63,0.82,-6.38
"강진군",-3.47,-2.61,-1.98,-1.68,-1.27,-0.45,0.09,1.16,-0.03,-3.21,-0.31,-0.43,-2.70,-2.57
"해남군",-2.45,-2.48,-1.67,-2.04,-2.01,-1.65,0.21,-1.75,-1.38,-0.32,-0.49,-0.58,-0.85,-1.30
"영암군",-1.73,-1.45,-0.26,0.18,-0.10,2.09,0.45,-0.27,0.64,-1.12,-1.92,1.29,0.00,-2.69
"무안군",-3.43,-1.71,-0.77,-0.04,3.41,5.18,8.85,2.84,1.78,-0.09,4.61,2.90,0.78,0.03
"함평군",0.51,-4.37,-0.12,-3.66,-1.42,-1.39,-0.97,-0.84,-1.43,-0.96,-0.37,-1.24,-0.67,-1.24
"영광군",-4.31,-1.83,-2.28,-2.29,-1.81,-1.15,-1.70,0.67,-0.87,0.73,0.77,-1.25,-0.87,-1.12
"장성군",-1.87,-2.16,-2.06,-2.42,-0.90,-1.40,-0.74,0.93,-0.15,-0.02,0.05,-0.15,0.21,-0.50
"완도군",-2.82,-1.82,-1.79,-2.33,-2.05,-2.11,-1.20,0.41,-0.43,-0.21,-0.02,-0.34,0.10,-0.08
"진도군",-3.07,-2.72,-2.09,-1.44,-1.95,-2.10,-1.36,-0.30,-0.66,-0.71,-0.19,-0.33,-0.20,0.14
